show me bedding	show me bedding	Search.Products(@Category=bedding)
show me some pillows	show me some pillows	Search.Products(@Category=pillows)
do you have any support pillows	do you have any support pillows	Search.Products(@ItemType=support pillows)
I want some bedding and support pillows	I want some bedding and support pillows	Search.Products(@Category=bedding, @ItemType=support pillows)
I'm looking for traditional leather chairs	I'm looking for traditional leather chairs	Search.Products(@Style=traditional, @Material=leather, @ItemType=chairs)
what white curtain panels do you have?	what white curtain panels do you have?	Search.Products(@Color=white, @ItemType=curtain panels)
what sort of bohemian dinning tables do you have under $200? 	what sort of bohemian dinning tables do you have under $200? 	Search.Products(@Style=bohemian, @ItemType=dining tables, @operator=under, @Price=$200)
show me lumisource dining tables for six people	show me lumisource dining tables for six people	Search.Products(@Brand=lumisource, @ItemType=dining tables, @SeatingCapacity=six)
Can I see round bohemian dining tables that can seat 4 people? 	Can I see round bohemian dining tables that can seat 4 people? 	Search.Products(@Shape=round, @Style=bohemian, @ItemType=dining tables, @SeatingCapacity=4)
Do you have any red samsonite duffle bags rated more than 4 stars?	Do you have any red samsonite duffle bags rated more than 4 stars?	Search.Products(@Color=red, @Brand=samsonite, @ItemType=duffle bags, @Operator=more than, @Rating=4 stars)
I want to look at red or black duffle bags between $50 and $100 	I want to look at red or black duffle bags between $50 and $100 	Search.Products(@Color=red, @Color=black, @ItemType=duffle bags, @Operator=between, @Price=$50, @Price=$100)
Show all the king sheet sets you have	Show all the king sheet sets you have	Search.Products(@Size=king, @ItemType=sheet sets)
furniture more than 4 stars	furniture more than 4 stars	Search.Products(@Department=furniture, @Operator=more than, @Rating=4 stars)
what bedding is on clearance	what bedding is on clearance	Search.Products(@Department=bedding, @PriceType=clearance)
what outdoor door mats do you have on sale	what outdoor door mats do you have on sale	Search.Products(@Department=outdoor, @ItemType=door mats, @PriceType=sale)
Egyptian cotton sheet sets rated more than 2 stars	Egyptian cotton sheet sets rated more than 2 stars	Search.Products(@Material=egyptian cotton, @ItemType=sheet sets, @Operator=more than, @Rating=2 stars)
King sheets rated more than 4	King sheets rated more than 4	Search.Products(@Size=king, @Category=sheets, @Operator=more than, @Rating=4)
Grey twin sheet sets less than $30	Grey twin sheet sets less than $30	Search.Products(@Color=grey, @Size=twin, @ItemType=sheet sets, @Operator=less than, @Price=$30)
Grey twin sheet sets less than $30 on sale	Grey twin sheet sets less than $30 on sale	Search.Products(@Color=grey, @Size=twin, @ItemType=sheet sets, @Operator=less than, @Price=$30, @PriceType=sale)
Cotton sheets more than 4 stars	Cotton sheets more than 4 stars	Search.Products(@Material=cotton, @Category=sheets, @Operator=more than, @Rating=4 stars)
show me Wamsutta king sheet sets burgundy rated more than 4 stars 800 thread count	show me Wamsutta king sheet sets burgundy rated more than 4 stars 800 thread count	Search.Products(@Brand=Wamsutta, @Size=King, @ItemType=sheet sets, @Color=burgundy, @Operator=more than, @Rating=4 stars, @ThreadCount=800)
full sheets 700 thread count	full sheets 700 thread count	Search.Products(@Size=full, @Category=sheets, @ThreadCount=700)
queen sheet sets more than 800 threads	queen sheet sets more than 800 threads	Search.Products(@Size=queen, @ItemType=sheet sets, @Operator=more than, @ThreadCount=800)
Show Umbra wall frames	Show Umbra wall frames	Search.Products(@Brand=Umbra, @ItemType=wall frames)
what silver wall frames do you have?	what silver wall frames do you have?	Search.Products(@Color=silver, @ItemType=wall frames)
what clearance items do you have in outdoor furniture? 	what clearance items do you have in outdoor furniture? 	Search.Products(@PriceType=clearance, @Category=outdoor furniture)
show me vaccum cleaners on sale	show me vaccum cleaners on sale	Search.Products(@Category=vaccum, @PriceType=clearance)
what is on clearance	what is on clearance	Search.Products(@PriceType=clearance)
I want to see everything that you have on sale right now	I want to see everything that you have on sale right now	Search.Products(@PriceType=sale)
what black Friday deals do you have? 	what black Friday deals do you have? 	Search.Products(@PriceType=black friday)
do you have any white king sheet sets on clearance? 	do you have any white king sheet sets on clearance? 	Search.Products(@Color=white, @Size=King, @ItemType=sheet sets, @PriceType=clearance)
show me bath towles on sale rated more than 4 stars	show me bath towles on sale rated more than 4 stars	Search.Products(@ItemType=bath towles, @PriceType=sale, @Operator=more than, @Rating=4 stars)
Do you have any NBA door mats less than $50 rated more than 4 stars?	Do you have any NBA door mats less than $50 rated more than 4 stars?	Search.Products(@Brand=NBA, @ItemType=door mats, @Operator=less than, @Price=$50, @Operator=more than, @Rating=4 stars)
what sort of bohemian dinning tables do you have under $200 at the Palo Alto store? 	what sort of bohemian dinning tables do you have under $200 at the Palo Alto store? 	Search.Products(@Style=bohemian, @ItemType=dining tables, @operator=under, @Price=$200, @Store=Palo Alto)
show me lumisource dining tables for six people at the Almaden store	show me lumisource dining tables for six people at the Almaden store	Search.Products(@Brand=lumisource, @ItemType=dining tables, @SeatingCapacity=six, @Store=Almaden)
I want to look at red or black duffle bags between $50 and $100 at the valley fair store	I want to look at red or black duffle bags between $50 and $100 at the valley fair store	Search.Products(@Color=red, @Color=black, @ItemType=duffle bags, @Operator=between, @Price=$50, @Price=$100, @Store=valley fair)
Show all the king sheet sets you have in stock at valley fair store	Show all the king sheet sets you have in stock at valley fair store	Search.Products(@Size=king, @ItemType=sheet sets, @Store=valley fair)
what bedding is on clearance at the closest store	what bedding is on clearance at the closest store	Search.Products(@Department=bedding, @PriceType=clearance, @Store=closest)
what outdoor door mats do you have on sale at the palo alto store	what outdoor door mats do you have on sale at the palo alto store	Search.Products(@Department=outdoor, @ItemType=door mats, @PriceType=sale, @Store=palo alto)
Egyptian cotton sheet sets rated more than 2 stars at the almaden store	Egyptian cotton sheet sets rated more than 2 stars at the almaden store	Search.Products(@Material=egyptian cotton, @ItemType=sheet sets, @Operator=more than, @Rating=2 stars, @Store=Almaden)
Does the Hayward store have king sheets rated more than 4	Does the Hayward store have king sheets rated more than 4	Search.Products(@Store=Hayward, @Size=king, @Category=sheets, @Operator=more than, @Rating=4)
In the Palo Alto store are there any Grey twin sheet sets less than $30?	In the Palo Alto store are there any Grey twin sheet sets less than $30?	Search.Products(@Store=Palo Alto, @Color=grey, @Size=twin, @ItemType=sheet sets, @Operator=less than, @Price=$30)
Grey twin sheet sets less than $30 on sale in Almaden	Grey twin sheet sets less than $30 on sale in Almaden	Search.Products(@Color=grey, @Size=twin, @ItemType=sheet sets, @Operator=less than, @Price=$30, @PriceType=sale, @Store=Almaden)
Are there Cotton sheets more than 4 stars in the Palo Alto store?	Are there Cotton sheets more than 4 stars in the Palo Alto store?	Search.Products(@Material=cotton, @Category=sheets, @Operator=more than, @Rating=4 stars, @Store=Palo Alto)
Show Umbra wall frames at store near me	Show Umbra wall frames at store near me	Search.Products(@Brand=Umbra, @ItemType=wall frames, @Store=nearest)
what clearance items do you have in outdoor furniture at the hayward store?	what clearance items do you have in outdoor furniture at the hayward store?	Search.Products(@PriceType=clearance, @Category=outdoor furniture, @Store=hayward)
What is in my wishlist?	What is in my wishlist?	Search.Products.List(@ListName=wishlist)
Show me my registry items	Show me my registry items	Search.Products.List(@ListName=registry)
what items are on my style board	what items are on my style board	Search.Products.List(@ListName=style board)
I want to see my wishlist	I want to see my wishlist	Search.Products.List(@ListName=wishlist)
show me bedding in my registry	show me bedding in my registry	Search.Products.List(@Category=bedding, @ListName=registry)
show me kitchen items from my idea board	show me kitchen items from my idea board	Search.Products.List(@Department=kitchen, @ListName=idea board)
Do I have any furniture in my registry? 	Do I have any furniture in my registry? 	Search.Products.List(@Department=furniture, @ListName=registry)
What items are less than $100 in my registry? 	What items are less than $100 in my registry? 	Search.Products.List(@Operator=less than, @Price=$100, @ListName=registry)
Wamsutta wishlist	Wamsutta wishlist	Search.Products.List(@Brand=Wamsutta, @ListName=wishlist)
show me items rated less than 3 stars in my registry	show me items rated less than 3 stars in my registry	Search.Products.List(@Operator=less than, @Rating=3 star, @ListName=registry)
show me items on sale from my idea board	show me items on sale from my idea board	Search.Products.List(@PriceType=sale, @ListName=idea board)
do you have any support pillows on my idea board?	do you have any support pillows on my idea board?	Search.Products.List(@ItemType=support pillows, @ListName=idea board)		
I'm looking for traditional leather chairs that are in my registry	I'm looking for traditional leather chairs that are in my registry	Search.Products.List(@Style=traditional, @Material=leather, @ItemType=chairs, @ListName=registry)
what white curtain panels do you have on my idea board?	what white curtain panels do you have on my idea board?	Search.Products.List(@Color=white, @ItemType=curtain panels, @ListName=idea board)
Do I have any bohemian dinning tables do you have under $200 in my registry? 	Do I have any bohemian dinning tables do you have under $200 in my registry? 	Search.Products.List(@Style=bohemian, @ItemType=dining tables, @operator=under, @Price=$200, @ListName=registry)
Show me the king sheet sets from my idea board	Show me the king sheet sets from my idea board	Search.Products.List(@Size=king, @ItemType=sheet sets, @ListName=idea board)
furniture more than 4 stars from wishlist	furniture more than 4 stars from wishlist	Search.Products.List(@Department=furniture, @Operator=more than, @Rating=4 stars, @ListName=wishlist)
what bedding is on clearance from my wishlist	what bedding is on clearance from my wishlist	Search.Products.List(@Department=bedding, @PriceType=clearance, @ListName=wishlist)
Grey twin sheet sets less than $30 on clearance from my registry	Grey twin sheet sets less than $30 on clearance from my registry	Search.Products.List(@Color=grey, @Size=twin, @ItemType=sheet sets, @Operator=less than, @Price=$30, @PriceType=clearance, @ListName=registry)
Cotton sheets more than 4 stars on my idea board	Cotton sheets more than 4 stars on my idea board	Search.Products.List(@Material=cotton, @Category=sheets, @Operator=more than, @Rating=4 stars, @ListName=idea board)
Show Umbra wall frames from my registry	Show Umbra wall frames from my registry	Search.Products.List(@Brand=Umbra, @ItemType=wall frames, @ListName=registry)
what silver wall frames do you have in my wishlist?	what silver wall frames do you have in my wishlist?	Search.Products.List(@Color=silver, @ItemType=wall frames, @ListName=wishlist)
show me vaccum cleaners on sale from my idea board	show me vaccum cleaners on sale from my idea board	Search.Products.List(@Category=vaccum, @PriceType=clearance, @ListName=idea board)
what is on clearance from my idea board	what is on clearance from my idea board	Search.Products.List(@PriceType=clearance, @ListName=idea board)
I want to see everything that you have on sale right now from my registry	I want to see everything that you have on sale right now from my registry	Search.Products.List(@PriceType=sale, @ListName=registry)
what black Friday deals do you have from my idea board? 	what black Friday deals do you have from my idea board? 	Search.Products.List(@PriceType=black friday, @ListName=idea board)
Do you have any NBA door mats less than $50 rated more than 4 stars on my idea board?	Do you have any NBA door mats less than $50 rated more than 4 stars on my idea board?	Search.Products.List(@Brand=NBA, @ItemType=door mats, @Operator=less than, @Price=$50, @Operator=more than, @Rating=4 stars, @ListName=idea board)
Show me the first one	Show me the first one	Select.Product(@OrdinalPosition=one)
Show me chealsea boots	Show me chealsea boots	Select.Product(@ProductName=Chealsea boots)
Show me second item	Show me second item	Select.Product(@OrdinalPosition=two)
Show me the pillow cover	Show me the pillow cover	Select.Product(@ProductName=pillow cover)
Show me the third dress	Show me the third dress	Select.Product(@OrdinalPosition=three)
Tell me more about the second sheet	Tell me more about the second sheet	Select.Product(@OrdinalPosition=two)
How about the fifth item? 	How about the fifth item? 	Select.Product(@OrdinalPosition=five)
Can I see the third entry? 	Can I see the third entry? 	Select.Product(@OrdinalPosition=three)
What about the fourth pan?	What about the fourth pan?	Select.Product(@OrdinalPosition=fourth)
Show me the blue sheet	Show me the blue sheet	Select.Product(@Color=blue, @ItemType=sheet)
Show me the cheapest ones first	Show me the cheapest ones first	Sort.Product(@OrderPrice=low to high)
Show me expensive to cheap	Show me expensive to cheap	Sort.Product(@OrderPrice=high to low)
I want to see cheaper ones first	I want to see cheaper ones first	Sort.Product(@OrderPrice=low to high)
What are the least expensive ones	What are the least expensive ones	Sort.Product(@OrderPrice=low to high)
